lines,choices,traces,states,multi_states,method_time,trace_time
2.0,2.0,4.0,6.0,6.0,0.06,0.0
3.0,2.0,9.0,8.0,8.0,0.0,0.0
4.0,2.0,16.0,10.0,10.0,0.01,0.0
5.0,2.0,25.0,12.0,12.0,0.01,0.0
7.0,2.0,49.0,16.0,16.0,0.02,0.0
10.0,2.0,100.0,22.0,22.0,0.03,0.0
13.0,2.0,169.0,28.0,28.0,0.06,0.0
15.0,2.0,225.0,32.0,32.0,0.16,0.0
20.0,2.0,400.0,42.0,42.0,0.23,0.01
2.0,3.0,8.0,8.0,8.0,0.0,0.0
3.0,3.0,27.0,11.0,11.0,0.01,0.0
4.0,3.0,64.0,14.0,14.0,0.01,0.0
5.0,3.0,125.0,17.0,17.0,0.02,0.0
7.0,3.0,343.0,23.0,23.0,0.03,0.0
10.0,3.0,1000.0,32.0,32.0,0.06,0.01
13.0,3.0,2197.0,41.0,41.0,0.12,0.03
15.0,3.0,3375.0,47.0,47.0,0.21,0.04
20.0,3.0,8000.0,62.0,62.0,0.31,0.1
2.0,4.0,16.0,10.0,10.0,0.01,0.0
3.0,4.0,81.0,14.0,14.0,0.01,0.0
4.0,4.0,256.0,18.0,18.0,0.03,0.0
5.0,4.0,625.0,22.0,22.0,0.03,0.01
7.0,4.0,2401.0,30.0,30.0,0.04,0.03
10.0,4.0,10000.0,42.0,42.0,0.16,0.15
13.0,4.0,28561.0,54.0,54.0,0.19,0.31
15.0,4.0,50625.0,62.0,62.0,0.27,0.73
20.0,4.0,160000.0,82.0,82.0,0.52,2.37
2.0,5.0,32.0,12.0,12.0,0.01,0.01
3.0,5.0,243.0,17.0,17.0,0.01,0.0
4.0,5.0,1024.0,22.0,22.0,0.02,0.02
5.0,5.0,3125.0,27.0,27.0,0.03,0.03
7.0,5.0,16807.0,37.0,37.0,0.07,0.17
10.0,5.0,100000.0,52.0,52.0,0.13,1.37
13.0,5.0,371293.0,67.0,67.0,0.31,4.68
15.0,5.0,759375.0,77.0,77.0,0.36,9.81
20.0,5.0,3200000.0,102.0,102.0,0.9,60.35
2.0,7.0,128.0,16.0,16.0,0.01,0.13
3.0,7.0,2187.0,23.0,23.0,0.02,0.03
4.0,7.0,16384.0,30.0,30.0,0.04,0.17
5.0,7.0,78125.0,37.0,37.0,0.05,1.05
7.0,7.0,823543.0,51.0,51.0,0.18,11.49
10.0,7.0,10000000.0,72.0,72.0,0.3,131.12
13.0,7.0,62748517.0,93.0,93.0,0.37,-1.0
15.0,7.0,170859375.0,107.0,107.0,0.55,-1.0
20.0,7.0,1280000000.0,142.0,142.0,1.41,-1.0
2.0,10.0,1024.0,22.0,22.0,0.01,0.46
3.0,10.0,59049.0,32.0,32.0,0.04,0.76
4.0,10.0,1048576.0,42.0,42.0,0.05,15.08
5.0,10.0,9765625.0,52.0,52.0,0.1,128.74
7.0,10.0,282475249.0,72.0,72.0,0.15,-1.0
10.0,10.0,10000000000.0,102.0,102.0,0.3,-1.0
13.0,10.0,137858491849.0,132.0,132.0,0.82,-1.0
15.0,10.0,576650390625.0,152.0,152.0,1.08,-1.0
20.0,10.0,10240000000000.0,202.0,202.0,2.25,-1.0
2.0,13.0,8192.0,28.0,28.0,0.03,0.77
3.0,13.0,1594323.0,41.0,41.0,0.03,24.53
4.0,13.0,67108864.0,54.0,54.0,0.06,-1.0
5.0,13.0,1220703125.0,67.0,67.0,0.1,-1.0
7.0,13.0,96889010407.0,93.0,93.0,0.18,-1.0
10.0,13.0,10000000000000.0,132.0,132.0,0.42,-1.0
13.0,13.0,302875106592253.0,171.0,171.0,4.01,-1.0
15.0,13.0,1946195068359375.0,197.0,197.0,5.25,-1.0
20.0,13.0,8.192e+16,262.0,262.0,7.6,-1.0
2.0,15.0,32768.0,32.0,32.0,0.03,0.9
3.0,15.0,14348907.0,47.0,47.0,0.07,-1.0
4.0,15.0,1073741824.0,62.0,62.0,0.13,-1.0
5.0,15.0,30517578125.0,77.0,77.0,0.16,-1.0
7.0,15.0,4747561509943.0,107.0,107.0,0.27,-1.0
10.0,15.0,1000000000000000.0,152.0,152.0,0.66,-1.0
13.0,15.0,5.118589301409076e+16,197.0,197.0,5.64,-1.0
15.0,15.0,4.378938903808594e+17,227.0,227.0,6.1,-1.0
20.0,15.0,32768000000000000000,302.0,302.0,13.11,-1.0
2.0,20.0,1048576.0,42.0,42.0,0.03,18.64
3.0,20.0,3486784401.0,62.0,62.0,0.05,-1.0
4.0,20.0,1099511627776.0,82.0,82.0,0.11,-1.0
5.0,20.0,95367431640625.0,102.0,102.0,0.15,-1.0
7.0,20.0,7.9792266297612e+16,142.0,142.0,0.37,-1.0
10.0,20.0,100000000000000000000,202.0,202.0,0.99,-1.0
13.0,20.0,19004963774880799438801,262.0,262.0,7.31,-1.0
15.0,20.0,332525673007965087890625,302.0,302.0,11.8,-1.0
20.0,20.0,104857600000000000000000000,402.0,402.0,22.59,-1.0
